sensor_id,timestamp,location,temperature,humidity,pressure,battery_pct,alert_flag
SENS000058,2024-02-18 19:28:57,Zone-D,70.23,79.84,953.49,12.78,0
SENS000059,2023-11-10 02:04:52,Zone-A,69.18,31.95,974.19,,0
SENS000060,2024-07-23 03:10:58,Warehouse-2,11.97,83.98,1018.11,16.22,0
SENS000061,2023-11-28 20:29:35,Zone-A,49.44,37.77,1027.42,78.42,0
SENS000062,2023-07-09 23:57:18,Warehouse-1,10.34,67.08,1034.64,83.52,0
SENS000063,2023-06-28 09:16:38,Zone-B,20.48,72.45,962.83,64.71,0
SENS000064,2024-07-16 07:41:34,Zone-A,6.33,84.07,996.55,47.47,0
SENS000065,2024-02-29 14:24:44,Field-North,-7.4,21.13,1038.62,37.61,0
SENS000066,2023-01-12 11:23:07,Zone-D,51.07,46.84,987.06,70.46,0
SENS000067,2023-02-19 01:44:10,Warehouse-1,21.47,27.51,1015.85,70.24,0
SENS000068,2024-07-18 07:11:20,Warehouse-1,16.88,73.35,959.36,89.13,0
SENS000069,2024-11-08 21:55:46,Zone-A,6.09,22.09,955.18,74.86,0
SENS000070,2023-02-13 04:06:59,Zone-B,7.02,44.94,1003.42,8.06,1
SENS000071,2024-06-04 19:04:22,Zone-C,-14.15,45.36,993.85,28.7,1
SENS000072,2023-02-15 06:41:45,Zone-E,44.94,24.17,981.11,36.45,0
SENS000073,2023-06-01 05:07:00,Warehouse-1,61.7,28.72,1015.44,89.39,0
SENS000074,2023-01-13 20:12:34,Field-North,56.5,19.03,1016.83,59.21,0
SENS000075,2023-01-08 18:00:43,Field-South,-16.52,60.3,1030.46,9.42,1
SENS000076,2023-08-10 02:36:04,Field-South,10.23,87.91,1026.79,34.1,0
SENS000077,2024-09-02 23:31:05,Zone-A,15.42,82.16,972.57,35.77,0
SENS000078,2023-06-16 20:24:10,Remote-01,70.34,54.39,1020.7,76.43,0
SENS000079,2024-05-01 10:44:23,Zone-D,34.77,48.91,1006.07,28.05,0
SENS000080,2023-06-30 16:39:05,Zone-D,36.8,46.2,975.93,54.25,0
SENS000081,2023-09-27 23:01:53,Warehouse-1,-6.39,67.77,1026.69,61.28,0
SENS000082,2024-01-11 16:31:45,Zone-E,0.98,94.22,974.26,28.49,1
SENS000083,2023-04-29 16:17:21,Zone-A,61.19,42.27,1001.32,59.26,0
SENS000084,2023-05-04 13:40:19,Zone-D,75.68,93.99,1024.96,13.93,1
SENS000085,2024-10-31 19:43:39,Zone-C,16.69,25.35,979.42,39.91,0
SENS000086,2024-03-18 20:36:06,Zone-D,18.02,80.95,1014.92,89.43,0
SENS000087,2023-07-18 02:10:34,Remote-01,5.67,54.54,953.54,89.61,0
SENS000088,2024-09-14 13:44:05,Warehouse-1,-9.07,52.21,991.11,34.69,0
SENS000089,2024-09-10 14:07:04,Zone-E,8.65,67.19,1010.64,34.06,0
SENS000090,2023-04-24 18:54:18,Remote-01,58.81,57.68,1026.42,30.27,0
SENS000091,2024-11-09 11:11:36,Zone-D,-7.48,29.29,954.32,93.98,0
SENS000092,2023-07-05 12:35:56,Zone-D,43.16,34.26,989.27,12.61,0
SENS000093,2023-06-11 03:31:49,Field-South,43.04,67.31,989.31,43.71,0
SENS000094,2023-06-03 15:23:32,Zone-C,46.84,25.51,1016.22,51.9,0
SENS000095,2023-08-24 14:50:08,Zone-B,29.96,75.83,1027.06,75.07,0
SENS000096,2023-01-09 13:16:34,Zone-C,-17.9,58.42,951.26,47.09,1
SENS000097,2023-01-04 16:47:22,Zone-B,65.99,84.99,950.6,29.97,0
SENS000098,2024-12-01 15:11:32,Zone-A,3.01,89.35,1048.95,92.31,0
SENS000099,2024-08-20 06:19:19,Warehouse-2,70.82,92.38,1006.23,60.71,1
SENS000100,2023-01-09 17:09:07,Zone-B,20.14,23.26,1045.87,10.84,0
SENS000101,2024-06-20 10:09:12,Zone-A,65.61,85.65,1032.25,86.54,0
SENS000102,2023-03-19 05:39:09,Warehouse-1,78.91,41.45,1035.67,30.3,0
SENS000103,2024-06-05 15:49:45,Field-North,47.67,31.17,986.04,70.06,0
SENS000104,2024-11-14 03:39:43,Field-South,68.25,42.56,959.69,,0
SENS000105,2023-01-29 18:04:34,Zone-D,37.82,55.26,952.5,18.47,0
SENS000106,2024-07-14 08:12:54,Field-South,-7.14,58.58,978.38,28.67,0
SENS000107,2024-05-13 11:59:23,Field-North,53.82,86.35,993.3,65.32,0
SENS000108,2023-06-18 07:34:58,Zone-B,-0.45,28.27,1021.77,65.87,0
SENS000109,2024-10-15 23:32:30,Zone-D,5.91,44.81,1046.18,98.99,0
SENS000110,2023-12-17 22:42:59,Zone-A,31.15,20.11,967.33,97.66,0
SENS000111,2024-05-26 00:51:34,Warehouse-2,9.15,51.3,984.4,60.16,0
SENS000112,2024-06-09 13:27:49,Zone-A,10.92,23.72,1049.28,78.07,0
SENS000113,2023-09-02 10:03:13,Warehouse-1,44.56,21.34,1000.86,27.91,0
SENS000114,2023-04-21 17:54:55,Remote-01,77.03,85.79,954.68,32.81,0
SENS000115,2024-11-24 19:59:36,Zone-C,73.37,41.4,1035.06,51.36,0
SENS000116,2023-04-20 21:27:12,Zone-B,74.43,20.76,1026.82,39.53,0
SENS000117,2023-06-24 16:15:41,Zone-C,50.83,42.87,1018.85,56.12,0
SENS000118,2023-11-01 17:02:57,Field-North,12.7,20.91,1046.86,92.1,0
SENS000119,2023-09-12 17:04:53,Zone-D,68.41,80.07,986.62,45.8,0
SENS000120,2023-04-02 17:26:26,Warehouse-2,7.27,93.62,997.69,76.58,1
SENS000121,2023-03-28 01:35:33,Zone-C,73.93,72.79,1048.84,58.18,0
SENS000122,2024-12-15 22:37:48,Zone-B,49.5,25.46,1027.16,18.96,0
SENS000123,2023-01-06 14:20:27,Zone-A,44.76,94.23,1041.6,49.27,1
SENS000124,2023-04-03 04:09:29,Field-South,32.07,47.75,980.82,86.74,0
SENS000125,2023-03-13 02:31:06,Zone-A,-7.93,78.27,986.47,73.97,0
SENS000126,2023-05-13 11:22:09,Warehouse-2,50.51,35.93,981.99,64.04,0
SENS000127,2023-01-18 20:31:03,Remote-01,28.92,56.75,1041.54,22.66,0
SENS000128,2023-02-28 07:57:41,Remote-01,-2.45,69.95,984.97,63.0,0
SENS000129,2024-10-17 06:13:16,Zone-C,-0.89,65.53,988.82,89.79,0
SENS000130,2024-12-23 07:41:44,Remote-01,26.13,11.82,985.33,,0
SENS000131,2024-03-20 18:10:15,Field-North,19.61,73.48,980.77,54.29,0
SENS000132,2024-10-20 16:23:38,Warehouse-1,17.63,66.91,965.05,33.15,0
SENS000133,2023-10-16 03:41:40,Zone-C,3.7,89.21,1039.3,6.01,1
SENS000134,2023-03-26 05:35:55,Field-North,-6.07,30.38,1011.43,5.5,1
SENS000135,2023-09-11 15:15:56,Zone-A,7.99,76.09,987.41,75.29,0
SENS000136,2024-10-20 16:24:26,Zone-C,64.32,65.57,1045.73,7.41,1
SENS000137,2024-04-16 14:54:42,Zone-D,1.06,92.07,983.84,33.07,1
SENS000138,2024-06-25 14:48:37,Remote-01,-9.59,80.06,960.84,78.68,0
SENS000139,2024-09-08 10:20:26,Field-South,43.6,15.06,1003.87,17.63,0
SENS000140,2023-11-02 22:08:44,Zone-A,13.88,65.21,1024.17,9.2,1
SENS000141,2023-05-21 23:53:19,Field-South,23.28,50.78,1041.27,17.39,0
SENS000142,2024-01-20 18:59:42,Zone-D,2.2,83.57,960.12,46.67,0
SENS000143,2023-02-16 13:28:16,Warehouse-1,79.81,17.5,955.98,49.95,0
SENS000144,2024-11-24 22:21:18,Warehouse-2,60.02,79.16,1040.87,28.02,0
SENS000145,2024-03-05 19:46:13,Zone-A,17.81,76.18,1012.88,11.75,0
SENS000146,2023-04-29 10:37:11,Remote-01,61.15,39.89,1002.04,75.41,0
SENS000147,2024-03-07 04:46:58,Zone-A,-1.53,37.35,1006.6,8.23,1
SENS000148,2023-06-18 01:32:53,Zone-E,22.84,14.89,984.41,86.03,0
SENS000149,2023-01-09 01:41:55,Warehouse-2,8.77,73.81,1010.04,63.77,0
SENS000150,2024-05-30 19:10:57,Zone-E,52.02,55.88,985.64,74.3,0
SENS000151,2024-11-01 07:12:10,Zone-B,-5.5,87.63,1043.1,96.58,0
SENS000152,2023-08-28 00:34:45,Field-South,109.41,41.15,1047.96,57.83,1
SENS000153,2024-08-28 00:59:13,Warehouse-1,105.28,14.13,1007.64,67.67,1
SENS000154,2024-03-08 05:51:10,Warehouse-2,79.91,37.05,1011.24,89.72,0
SENS000155,2024-10-02 07:46:16,Remote-01,23.85,62.95,1038.46,95.95,0
SENS000156,2024-12-27 22:50:17,Zone-A,25.19,93.92,998.55,59.09,1
SENS000157,2023-03-30 14:59:50,Warehouse-2,2.82,74.16,1002.04,22.3,0
SENS000158,2024-05-12 17:54:52,Zone-A,13.56,24.31,1017.16,17.4,0
SENS000159,2023-11-12 01:59:21,Remote-01,21.72,14.95,973.29,40.46,0
SENS000160,2023-08-05 12:59:16,Remote-01,11.1,71.26,990.98,55.97,0
SENS000161,2024-11-11 17:54:17,Warehouse-1,-2.01,72.88,983.88,74.94,0
SENS000162,2023-08-26 14:52:12,Field-North,0.8,13.58,1025.87,99.48,0
SENS000163,2024-09-08 13:33:12,Remote-01,45.77,59.0,991.19,47.47,0
SENS000164,2024-02-18 01:41:35,Field-North,20.65,36.22,1000.83,70.06,0
SENS000165,2024-06-19 07:32:56,Warehouse-2,73.02,82.39,993.82,89.87,0
SENS000166,2024-06-12 10:23:37,Zone-B,-8.28,17.01,1045.41,74.23,0
SENS000167,2023-01-06 18:55:54,Warehouse-1,81.81,17.44,1037.95,67.81,1
SENS000168,2023-12-21 13:06:56,Zone-D,26.25,76.95,956.1,27.66,0
SENS000169,2023-12-21 22:51:55,Warehouse-2,71.64,67.89,1049.71,,0
SENS000170,2024-09-23 13:16:44,Zone-D,65.25,45.04,994.05,,0
SENS000171,2023-04-19 12:28:42,Zone-D,14.22,32.84,1044.45,63.22,0
SENS000172,2024-07-09 23:11:57,Field-South,77.3,23.44,1022.29,81.16,0
SENS000173,2024-03-07 22:55:01,Warehouse-2,26.68,58.67,1004.02,50.37,0
SENS000174,2023-12-26 04:42:43,Zone-A,39.7,87.38,1035.93,59.69,0
SENS000175,2024-07-25 08:13:20,Remote-01,11.0,89.09,999.19,75.31,0
SENS000176,2023-09-17 06:05:59,Remote-01,21.23,74.73,1046.06,70.12,0
SENS000177,2024-09-09 08:09:24,Zone-E,25.84,17.87,1021.5,72.52,0
SENS000178,2023-05-28 21:22:38,Zone-B,17.2,17.2,1015.01,12.04,0
SENS000179,2023-08-14 01:45:34,Zone-B,43.97,64.65,962.3,28.45,0
SENS000180,2023-04-13 05:12:45,Zone-E,56.9,41.41,951.01,49.46,0
SENS000181,2023-07-28 09:34:57,Zone-C,72.75,51.56,978.61,69.64,0
SENS000182,2023-10-30 13:32:01,Field-North,11.26,81.05,1032.34,39.02,0
SENS000183,2023-04-01 13:17:03,Field-South,73.66,10.77,1048.71,92.66,0
SENS000184,2024-12-24 03:30:41,Field-South,-2.12,23.17,1015.07,74.62,0
SENS000185,2024-12-04 17:23:18,Zone-A,23.74,31.72,960.54,42.17,0
SENS000186,2023-02-23 13:54:56,Field-South,62.91,74.06,1028.39,16.07,0
SENS000187,2023-06-05 08:29:17,Remote-01,3.23,39.79,1020.37,,0
SENS000188,2024-03-25 12:56:17,Zone-E,79.83,44.75,969.89,44.29,0
SENS000189,2024-01-17 01:31:34,Zone-E,-1.07,82.43,962.27,83.91,0
SENS000190,2023-01-23 04:44:29,Zone-B,17.31,80.64,1041.96,15.09,0
SENS000191,2024-12-16 10:57:59,Zone-E,-1.82,73.07,1043.82,86.49,0
SENS000192,2023-12-30 04:49:18,Zone-A,34.84,67.02,1043.76,72.43,0
SENS000193,2024-01-01 00:58:16,Field-South,-6.35,25.22,962.17,62.87,0
SENS000194,2023-03-25 18:11:58,Zone-C,7.58,14.5,971.7,23.53,0
SENS000195,2024-11-26 17:34:08,Zone-A,29.75,42.19,970.37,98.26,0
SENS000196,2024-07-20 21:26:00,Field-North,11.97,69.47,988.19,64.12,0
SENS000197,2024-11-10 11:49:45,Warehouse-2,85.04,89.99,1021.09,90.83,1
SENS000198,2023-09-12 22:05:17,Field-South,77.15,15.61,970.31,,0
SENS000199,2024-11-14 02:21:14,Zone-E,-7.35,66.25,978.07,6.76,1
SENS000200,2024-06-16 02:37:49,Warehouse-1,31.72,49.01,1046.26,7.0,1
SENS000201,2023-07-08 04:33:51,Zone-B,60.94,68.8,978.82,49.73,0
SENS000202,2024-05-01 09:28:15,Zone-E,46.91,44.18,1048.11,25.37,0
SENS000203,2023-11-16 21:38:04,Remote-01,30.33,10.43,1028.04,54.12,0
SENS000204,2024-11-15 05:05:58,Remote-01,24.55,36.35,960.61,32.22,0
SENS000205,2023-06-10 20:12:03,Zone-D,58.01,76.64,975.04,21.4,0
SENS000206,2024-05-04 08:03:25,Zone-A,56.77,19.49,1037.86,24.04,0
SENS000207,2024-09-18 22:30:59,Warehouse-2,1.18,18.19,1002.32,61.08,0
SENS000208,2024-12-19 01:47:02,Warehouse-2,73.52,13.42,1041.33,61.23,0
SENS000209,2024-08-09 15:43:17,Field-North,15.33,84.65,1044.3,76.48,0
SENS000210,2023-05-27 14:06:47,Zone-C,14.74,67.03,964.37,47.81,0
SENS000211,2024-10-27 23:08:00,Zone-A,5.28,47.13,1048.0,20.43,0
SENS000212,2023-08-06 23:20:18,Zone-E,17.38,61.47,1015.43,13.15,0
SENS000213,2023-03-24 05:01:56,Zone-E,77.13,76.16,951.8,47.09,0
SENS000214,2023-03-02 15:55:54,Field-South,-4.59,42.72,1010.49,51.47,0
SENS000215,2023-03-10 07:54:43,Zone-E,36.46,38.64,1007.94,72.49,0
SENS000216,2023-11-13 05:24:25,Zone-A,31.76,89.17,1032.09,56.31,0
SENS000217,2023-06-28 14:12:24,Zone-A,16.05,51.71,997.44,90.57,0
SENS000218,2024-12-15 03:38:18,Zone-B,34.64,43.06,1031.45,71.99,0
SENS000219,2023-06-29 14:05:57,Field-South,2.33,53.22,1031.11,58.1,0
SENS000220,2023-11-02 18:40:59,Zone-A,0.95,86.79,1004.79,,0
SENS000221,2023-02-16 15:17:17,Warehouse-1,17.51,88.59,972.89,,0
SENS000222,2024-08-16 07:27:42,Zone-B,1.25,91.34,1049.57,77.56,1
SENS000223,2024-08-03 01:59:05,Zone-B,2.88,67.89,983.76,96.52,0
SENS000224,2023-01-12 16:15:34,Zone-A,33.69,79.56,954.19,93.89,0
SENS000225,2024-01-20 05:15:00,Zone-A,37.26,35.31,1042.81,29.47,0
SENS000226,2024-03-20 16:59:14,Zone-A,54.13,26.55,956.13,49.44,0
SENS000227,2024-11-14 18:36:48,Zone-B,29.51,78.48,1016.39,12.14,0
SENS000228,2023-08-23 12:58:06,Field-North,74.02,91.44,961.17,63.61,1
SENS000229,2024-10-17 21:00:10,Remote-01,69.75,33.72,1039.51,98.73,0
SENS000230,2024-06-12 00:24:09,Remote-01,79.0,24.19,967.05,35.81,0
SENS000231,2023-10-27 23:21:22,Zone-A,9.4,13.18,973.91,84.17,0
SENS000232,2024-12-29 17:49:24,Remote-01,43.47,62.84,986.06,65.09,0
SENS000233,2023-10-22 18:35:47,Remote-01,20.56,44.73,1033.63,87.36,0
SENS000234,2023-03-01 01:53:07,Zone-C,50.57,74.44,1031.1,21.74,0
SENS000235,2023-04-27 00:05:41,Zone-A,22.47,14.89,1047.44,92.33,0
SENS000236,2023-06-27 00:01:17,Zone-E,-5.08,75.72,959.14,57.63,0
SENS000237,2024-09-26 20:16:52,Zone-B,-1.27,33.93,1017.05,43.11,0
SENS000238,2024-09-13 14:36:23,Zone-E,1.02,30.12,977.43,68.1,0
SENS000239,2023-11-23 06:33:10,Zone-E,79.96,42.21,1036.52,79.1,0
SENS000240,2023-01-18 03:26:32,Zone-E,-4.16,80.14,956.49,95.52,0
SENS000241,2024-06-05 08:31:59,Remote-01,-4.03,25.81,986.99,22.28,0
SENS000242,2023-06-15 19:23:38,Remote-01,28.43,72.59,1043.45,41.68,0
SENS000243,2023-02-16 01:38:09,Warehouse-2,15.08,56.36,969.68,10.93,0
SENS000244,2023-04-30 03:58:41,Zone-D,71.85,79.69,953.54,6.13,1
SENS000245,2023-04-23 16:39:10,Zone-D,25.34,52.57,1017.48,68.31,0
SENS000246,2024-11-06 06:49:29,Remote-01,-7.64,80.18,1039.67,62.23,0
SENS000247,2023-04-17 00:56:51,Field-North,24.97,22.87,999.63,97.9,0
SENS000248,2024-04-10 00:26:50,Zone-E,-14.57,65.23,994.01,67.86,1
SENS000249,2023-09-09 03:27:11,Zone-C,75.33,64.72,976.04,34.19,0
SENS000250,2023-04-25 01:10:30,Warehouse-2,79.53,75.82,1021.98,17.7,0
SENS000251,2023-06-14 22:53:54,Warehouse-1,73.52,60.74,988.44,95.07,0
SENS000252,2023-02-21 22:17:35,Field-South,28.67,16.45,957.7,17.92,0
SENS000253,2023-02-19 09:12:19,Zone-E,63.03,63.88,976.92,30.29,0
SENS000254,2024-09-11 07:56:58,Field-South,20.27,78.67,979.59,79.73,0
SENS000255,2023-07-28 21:15:00,Zone-C,-4.39,23.32,957.12,91.76,0
SENS000256,2024-11-05 20:57:40,Field-South,20.82,60.39,1002.49,39.61,0
SENS000257,2024-12-10 12:33:24,Warehouse-2,22.37,60.96,1032.52,43.81,0
SENS000258,2023-02-13 03:27:42,Remote-01,3.94,74.68,961.41,96.92,0
SENS000259,2023-04-27 11:37:33,Zone-C,28.63,92.48,953.07,,1
SENS000260,2023-02-06 03:52:25,Zone-E,42.55,57.87,959.11,93.1,0
SENS000261,2024-10-01 04:42:12,Zone-A,34.11,31.4,984.02,5.22,1
SENS000262,2024-08-05 09:52:47,Warehouse-2,25.36,80.19,976.15,86.06,0
SENS000263,2023-11-20 02:08:23,Field-South,58.21,19.93,1040.08,62.45,0
SENS000264,2023-01-31 08:58:02,Zone-D,63.46,45.76,1005.95,60.41,0
SENS000265,2023-01-15 17:15:21,Zone-E,47.18,20.86,971.22,29.44,0
SENS000266,2024-04-26 03:01:54,Field-North,46.36,40.22,1040.53,11.64,0
SENS000267,2024-04-08 15:48:57,Warehouse-1,57.98,32.75,1000.45,36.85,0
SENS000268,2024-01-10 16:28:42,Field-South,12.56,40.43,962.44,74.0,0
SENS000269,2023-01-03 00:04:16,Remote-01,40.24,43.46,995.08,70.26,0
SENS000270,2023-07-12 05:01:12,Field-South,45.19,79.12,1030.7,,0
SENS000271,2024-12-01 16:29:04,Zone-B,-4.23,52.28,986.79,7.24,1
SENS000272,2023-10-14 04:31:43,Field-South,37.44,80.2,1021.51,58.77,0
SENS000273,2023-12-23 11:00:01,Zone-E,16.07,45.3,988.49,71.25,0
SENS000274,2024-04-17 06:23:37,Zone-C,38.33,72.91,952.18,24.71,0
SENS000275,2024-10-06 05:19:06,Remote-01,50.1,16.05,995.18,32.19,0
SENS000276,2024-08-30 17:15:58,Warehouse-2,55.44,87.27,953.35,54.78,0
SENS000277,2024-01-18 23:58:49,Remote-01,27.34,62.03,1022.33,74.4,0
SENS000278,2024-03-11 09:24:57,Remote-01,34.35,37.71,974.49,44.73,0
SENS000279,2024-01-18 16:05:39,Field-South,59.65,32.11,991.49,39.81,0
SENS000280,2023-01-29 17:17:42,Remote-01,15.17,86.96,995.18,66.91,0
SENS000281,2024-01-08 05:14:34,Remote-01,50.22,69.49,973.22,11.43,0
SENS000282,2023-06-06 22:36:48,Zone-D,14.29,28.64,956.16,96.35,0
SENS000283,2023-05-06 06:34:16,Warehouse-2,71.47,20.38,984.92,49.38,0
SENS000284,2024-07-28 15:00:21,Remote-01,0.39,81.96,1000.22,15.34,0
SENS000285,2024-11-02 17:31:00,Zone-E,46.62,38.23,1002.72,37.35,0
SENS000286,2023-05-14 12:55:20,Zone-A,55.83,10.6,1017.79,62.4,0
SENS000287,2024-03-04 20:46:02,Zone-C,8.13,45.86,1048.92,15.99,0
SENS000288,2024-06-01 03:10:52,Zone-C,77.57,38.71,1013.99,,0
SENS000289,2024-06-05 12:04:20,Zone-C,30.16,34.69,1040.06,61.26,0
SENS000290,2023-12-19 08:32:04,Warehouse-2,11.91,69.97,1024.88,88.35,0
SENS000291,2023-10-13 15:04:18,Warehouse-1,43.26,84.98,998.42,97.62,0
SENS000292,2024-09-11 05:05:46,Zone-D,51.45,30.97,977.27,12.82,0
SENS000293,2023-08-12 15:33:56,Remote-01,44.34,31.39,989.96,40.74,0
SENS000294,2023-06-26 16:02:43,Warehouse-2,42.78,36.86,1035.64,65.64,0
SENS000295,2024-01-06 13:58:11,Field-North,5.92,16.28,1045.76,39.63,0
SENS000296,2024-11-11 09:25:57,Zone-A,26.83,91.81,1023.67,9.56,1
SENS000297,2023-04-05 04:35:26,Field-North,40.26,63.81,1026.29,98.06,0
SENS000298,2023-07-24 02:18:17,Warehouse-2,32.14,70.45,1012.5,66.08,0
SENS000299,2024-12-07 15:29:17,Zone-B,24.21,11.09,989.03,20.18,0
SENS000300,2023-09-15 21:15:57,Zone-B,32.69,52.16,962.75,28.4,0
SENS000301,2024-11-19 22:27:29,Zone-E,5.25,13.42,957.33,27.54,0
SENS000302,2023-02-19 03:39:21,Warehouse-2,-0.06,59.23,1025.2,19.82,0
SENS000303,2024-01-11 17:21:11,Zone-E,-3.29,78.49,1016.45,35.53,0
SENS000304,2024-02-11 10:31:51,Zone-B,14.41,32.38,1010.05,15.82,0
SENS000305,2024-08-22 20:11:12,Field-North,56.76,50.58,1021.33,68.22,0
SENS000306,2024-05-30 13:52:09,Zone-B,63.42,43.17,1038.92,34.54,0
SENS000307,2024-10-06 04:12:26,Zone-B,36.44,23.58,972.66,73.4,0
SENS000308,2023-03-20 21:15:31,Warehouse-2,43.02,38.74,954.08,44.91,0
SENS000309,2023-09-25 05:31:48,Field-South,23.65,76.16,968.03,20.62,0
SENS000310,2023-09-27 20:34:42,Zone-B,91.98,75.41,1014.57,,1
SENS000311,2024-02-25 20:03:44,Field-South,31.0,68.5,965.32,11.1,0
SENS000312,2023-04-13 12:31:37,Zone-C,55.62,84.11,967.85,20.34,0
SENS000313,2023-03-11 02:24:50,Field-South,70.6,27.16,962.86,98.29,0
SENS000314,2024-01-07 09:23:42,Zone-D,19.86,15.23,967.34,96.28,0
SENS000315,2024-04-24 13:14:11,Warehouse-1,-8.08,78.28,978.02,69.12,0
SENS000316,2024-03-07 16:34:00,Remote-01,18.1,53.8,1016.32,79.52,0
SENS000317,2024-06-18 13:17:44,Warehouse-1,39.86,26.52,1023.91,63.8,0
SENS000318,2024-02-06 19:04:32,Warehouse-2,-4.22,29.36,993.19,,0
